,Airport_name,Degree,Strength,Page rank
0,PAR,250,250.0,0.006144105445407069
1,LON,242,242.0,0.005265636368887512
2,FRA,237,237.0,0.004969229196992249
3,AMS,192,192.0,0.004010976674453537
4,MOW,186,186.0,0.005110050694885818
5,NYC,179,179.0,0.003892065149837664
6,ATL,172,172.0,0.0038189949702151314
7,BCN,80,80.0,0.0016053466472309547
8,WAW,55,55.0,0.001157411949523669
9,CHC,20,20.0,0.0008412463442406134
10,DJE,20,20.0,0.0004107115754135194
11,ADA,7,7.0,0.00018651094057125657
12,AGU,7,7.0,0.00019367081209262297
13,TBO,2,2.0,0.00012091731266894669
14,ZVA,1,1.0,0.00013212690509619001
