,MODEL_TYPE,FILE_NAME,NUM_NODES,PARTITION_ID,METHOD,NUM_PARTITIONS,GEN_PARTITION,NX_NVI,NX_NMI,NX_RAND_IDX,IG_NVI,IG_NMI,IG_RAND_IDX,IG_MOD,NX_MOD
0,toy,./data/toy/graph3+1+3.net,7,1,Garvin-Newman,1,True,0.16513319924334835,0.8095401960023787,0.857142857142857,0.16513319924334835,0.8095401960023787,0.857142857142857,0.3671875,0.3671875
1,toy,./data/toy/graph3+1+3.net,7,1,Greedy,1,True,0.16513319924334835,0.8095401960023787,0.857142857142857,0.16513319924334835,0.8095401960023787,0.857142857142857,0.3671875,0.3671875
2,toy,./data/toy/graph3+1+3.net,7,1,Label-Propagation,1,True,0.16513319924334835,0.8095401960023787,0.857142857142857,0.16513319924334835,0.8095401960023787,0.857142857142857,0.3671875,0.3671875
3,toy,./data/toy/20x2+5x2.net,50,1,Garvin-Newman,1,True,0.035436764027111586,0.938344985628389,0.9795918367346939,0.035436764027111586,0.938344985628389,0.9795918367346939,0.5425785462209587,0.5425785462209587
4,toy,./data/toy/20x2+5x2.net,50,1,Greedy,1,True,0.035436764027111586,0.938344985628389,0.9795918367346939,0.0,1.0,1.0,0.5425785462209587,0.5425785462209587
5,toy,./data/toy/20x2+5x2.net,50,1,Label-Propagation,1,True,0.0,1.0,1.0,0.035436764027111586,0.938344985628389,0.9795918367346939,0.5415859964709342,0.5415859964709342
6,toy,./data/toy/graph4+4.net,8,1,Garvin-Newman,1,True,0.0,1.0,1.0,0.0,1.0,1.0,0.44285714285714284,0.44285714285714284
7,toy,./data/toy/graph4+4.net,8,1,Greedy,1,True,0.0,1.0,1.0,0.0,1.0,1.0,0.44285714285714284,0.44285714285714284
8,toy,./data/toy/graph4+4.net,8,1,Label-Propagation,1,True,0.0,1.0,1.0,0.0,1.0,1.0,0.44285714285714284,0.44285714285714284
9,toy,./data/toy/grid-p-6x6.net,36,1,Garvin-Newman,0,False,0.5175218796314488,0.4790576726113413,0.7952380952380951,0.5012979713337705,0.4248016932877472,0.738095238095238,0.41666666666666663,0.41666666666666663
10,toy,./data/toy/grid-p-6x6.net,36,1,Greedy,0,False,0.5175218796314488,0.4790576726113413,0.7952380952380951,0.5688275616877152,0.2740599290927946,0.638095238095238,0.41666666666666663,0.41666666666666663
11,toy,./data/toy/grid-p-6x6.net,36,1,Label-Propagation,0,False,0.5463300944536991,0.32156136674261865,0.6365079365079365,0.4934341143397665,0.0,0.15079365079365092,0.34567901234567905,0.34567901234567905
12,toy,./data/toy/star.net,9,1,Garvin-Newman,1,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
13,toy,./data/toy/star.net,9,1,Greedy,1,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
14,toy,./data/toy/star.net,9,1,Label-Propagation,1,True,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
